page_number,zpid,url,imgHouse,address,price,unformattedPrice,latLong,isHomeRecomendation,brokerName,homeType,beds,baths,areas,livingArea,taxAssessedValue,lotAreaValue,lotAreaUnit,daysOnZillow,zestimate,statusType,homeStatus
1,29795393,https://www.zillow.com/homedetails/1242-Saint-Lawrence-Ave-Bronx-NY-10472/29795393_zpid/,https://photos.zillowstatic.com/fp/4894ec91073472e3b47cf12dc709377a-p_e.jpg,"1242 Saint Lawrence Avenue, Bronx, NY 10472","$350,000",350000,"{'latitude': 40.831112, 'longitude': -73.86685}",False,Listing by: Safeway Realty Corp,SINGLE_FAMILY,7,2,2016,2016,755000,2500,sqft,107,,FOR_SALE,FOR_SALE
1,300028714,https://www.zillow.com/homedetails/211-21-18th-Ave-177-Bayside-NY-11360/300028714_zpid/,https://photos.zillowstatic.com/fp/f6c1ada0ec02a308e24ee7d982d1b819-p_e.jpg,"21121 18th Avenue #177, Bayside, NY 11360","$349,000",349000,"{'latitude': 40.78273, 'longitude': -73.78148}",False,Listing by: Compass Greater NY LLC,CONDO,2,1,912,912,,,,25,,FOR_SALE,FOR_SALE
1,2070296330,https://www.zillow.com/homedetails/34-W-12th-St-New-York-NY-10011/2070296330_zpid/,https://photos.zillowstatic.com/fp/e0d6e18dec5f4e2a1092a75443fcd44f-p_e.jpg,"34 W 12th St, New York, NY 10011","$35,000,000",35000000,"{'latitude': 40.735027, 'longitude': -73.99603}",False,Listing by: Sotheby's International Realty,TOWNHOUSE,5,8,7373,7373,,,,171,33457900,FOR_SALE,FOR_SALE
1,2056746952,https://www.zillow.com/homedetails/44-15-72nd-St-Woodside-NY-11377/2056746952_zpid/,https://photos.zillowstatic.com/fp/7010b73559e89c59c63a3936fddcd76b-p_e.jpg,"4415 72nd Street, Woodside, NY 11377","$999,999",999999,"{'latitude': 40.740845, 'longitude': -73.892296}",False,Listing by: Weichert Realtors TMT Group,SINGLE_FAMILY,5,3,1624,1624,,1763,sqft,4,,FOR_SALE,FOR_SALE
1,32189735,https://www.zillow.com/homedetails/16818-Foch-Blvd-Jamaica-NY-11434/32189735_zpid/,https://photos.zillowstatic.com/fp/03d4b0bd94bd0e08066750459dbedac5-p_e.jpg,"16818 Foch Blvd, Jamaica, NY 11434","$625,000",625000,"{'latitude': 40.673237, 'longitude': -73.77524}",False,,SINGLE_FAMILY,3,2,2200,2200,538000,22,sqft,0,583700,FOR_SALE,FOR_SALE
1,244996562,https://www.zillow.com/homedetails/4015-7th-Ave-APT-12-Brooklyn-NY-11232/244996562_zpid/,https://photos.zillowstatic.com/fp/473e8fba8288007fcd9fc5eba0c4b4b4-p_e.jpg,"4015 7th Ave APT 12, Brooklyn, NY 11232","$499,000",499000,"{'latitude': 40.64751, 'longitude': -74.000244}",False,Listing by: Corcoran,CONDO,2,1,720,720,2793000,,,9,,FOR_SALE,FOR_SALE
1,32052653,https://www.zillow.com/homedetails/19623-56th-Ave-Flushing-NY-11365/32052653_zpid/,https://photos.zillowstatic.com/fp/1543d4401ce8a918d80db80deed8f2bb-p_e.jpg,"19623 56th Avenue, Fresh Meadows, NY 11365","$1,580,000",1580000,"{'latitude': 40.746376, 'longitude': -73.781296}",False,Listing by: Century Homes Realty Group LLC,MULTI_FAMILY,6,5,2250,2250,1378000,3800,sqft,70,,FOR_SALE,FOR_SALE
1,32277517,https://www.zillow.com/homedetails/144-Beverly-Ave-Staten-Island-NY-10301/32277517_zpid/,https://photos.zillowstatic.com/fp/c4d5f56cf2ec534b1e65a121610804b6-p_e.jpg,"144 Beverly Ave, Staten Island, NY 10301","$699,000",699000,"{'latitude': 40.617805, 'longitude': -74.10379}",False,Listing by: Ashford Homes LLC,SINGLE_FAMILY,3,2,1048,1048,618000,2178,sqft,1,695200,FOR_SALE,FOR_SALE
1,30788101,https://www.zillow.com/homedetails/362-Mayfair-Dr-S-Brooklyn-NY-11234/30788101_zpid/,https://photos.zillowstatic.com/fp/be551ba2c191f56cb1bb8191a088db6c-p_e.jpg,"362 Mayfair Dr S, Brooklyn, NY 11234","$1,599,000",1599000,"{'latitude': 40.608227, 'longitude': -73.90481}",False,Listing by: Talk of the Town Realty,SINGLE_FAMILY,5,3,3000,3000,1063000,,,4,1623200,FOR_SALE,FOR_SALE
1,29784324,https://www.zillow.com/homedetails/2073-Bathgate-Ave-Bronx-NY-10457/29784324_zpid/,https://photos.zillowstatic.com/fp/ebda63a4bec95b44ad8ca54d3a2e417d-p_e.jpg,"2073 Bathgate Avenue, Bronx, NY 10457","$575,000",575000,"{'latitude': 40.85066, 'longitude': -73.895325}",False,Listing by: Instahomes Realty LLC,SINGLE_FAMILY,4,2,1344,1344,558000,1933,sqft,17,,FOR_SALE,FOR_SALE
